10th,2nd,3rd,4th,5th,6th,7th,8th,9th,Agency,Component,Oldest Request,Unnamed: 1,Year
,4,,,,,,,,SEC,SEC,6,Number of Days Pending,2014
2009-01-26,2008-08-08,2008-08-11,2008-08-26,2008-10-21,2008-12-01,2008-12-01,2008-12-22,2009-01-09,State,DoS,2008-07-21,Date of Receipt,2014
1477,1599,1597,1586,1546,1517,1517,1502,1489,State,DoS,1612,Number of Days Pending,2014
,2014-04-15,2014-05-13,2014-06-17,2014-08-05,,,,,Treasury,DO,2014-01-16,Date of Receipt,2014
,118,98,74,40,,,,,Treasury,DO,179,Number of Days Pending,2014
,,,,,,,,,Treasury,FinCEN,2014-09-29,Date of Receipt,2014
,,,,,,,,,Treasury,FinCEN,2,Number of Days Pending,2014
2014-07-01,2014-05-30,2014-06-03,2014-06-09,2014-06-17,2014-06-20,2014-06-24,2014-06-30,2014-06-30,Treasury,IRS,2013-09-04,Date of Receipt,2014
64,86,84,80,74,71,69,65,65,Treasury,IRS,270,Number of Days Pending,2014
,,,,,,,,,Treasury,TIGTA,2014-09-25,Date of Receipt,2014
,,,,,,,,,Treasury,TIGTA,4,Number of Days Pending,2014
,,,,,,,,,U.S. DOL,OSHA,2014-09-11,Date of Receipt,2014
,,,,,,,,,U.S. DOL,OSHA,14,Number of Days Pending,2014
,2014-05-05,,,,,,,,U.S. DOL,WHD,2013-12-10,Date of Receipt,2014
,95,,,,,,,,U.S. DOL,WHD,204,Number of Days Pending,2014
,2014-02-12,2014-04-04,2014-04-04,2014-06-24,2014-07-17,2014-07-23,2014-08-15,2014-08-22,USAID,USAID,2013-12-06,Date of Receipt,2014
,160,124,124,68,52,48,31,26,USAID,USAID,205,Number of Days Pending,2014
,2013-01-25,,,,,,,,USDA,FSA,2012-08-30,Date of Receipt,2014
,424,,,,,,,,USDA,FSA,523,Number of Days Pending,2014
,,,,,,,,,USDA,RD,2012-04-11,Date of Receipt,2014
,,,,,,,,,USDA,RD,619,Number of Days Pending,2014
,,,,,,,,,USPS,PIS,2014-09-22,Date of Receipt,2014
,,,,,,,,,USPS,PIS,6,Number of Days Pending,2014
,,,,,,,,,USTDA,USTDA,2014-09-28,Date of Receipt,2014
,,,,,,,,,USTDA,USTDA,2,Number of Days Pending,2014
,2011-09-16,2012-03-08,2013-08-03,2013-09-26,,,,,USTR,USTR,2011-09-03,Date of Receipt,2014
,762,645,290,253,,,,,USTR,USTR,770,Number of Days Pending,2014
,,,,,,,,,VA,OIT,2014-09-26,Date of Receipt,2014
,,,,,,,,,VA,OIT,2,Number of Days Pending,2014
2010-10-19,2007-05-21,2007-05-21,2008-04-04,2008-04-04,2008-04-04,2008-04-04,2009-12-10,2010-03-18,CIA,CIA,2007-05-21,Date of Receipt,2015
1808,3055,3055,2736,2736,2736,2736,2121,2023,CIA,CIA,3055,Number of Days Pending,2015
2013-07-13,2013-02-27,2013-04-10,2013-05-31,2013-06-14,2013-07-02,2013-07-12,2013-07-12,2013-07-13,DHS,CBP,2013-02-21,Date of Receipt,2015
578,676,646,609,599,587,579,579,578,DHS,CBP,680,Number of Days Pending,2015
,2015-09-01,,,,,,,,DHS,FEMA,2015-04-10,Date of Receipt,2015
,20,,,,,,,,DHS,FEMA,120,Number of Days Pending,2015
2013-08-16,2013-06-24,2013-06-24,2013-06-24,2013-08-16,2013-08-16,2013-08-16,2013-08-16,2013-08-16,DHS,ICE,2013-06-16,Date of Receipt,2015
554,593,593,593,554,554,554,554,554,DHS,ICE,598,Number of Days Pending,2015
,,,,,,,,,DHS,NPPD,2015-08-14,Date of Receipt,2015
,,,,,,,,,DHS,NPPD,34,Number of Days Pending,2015
,,,,,,,,,DHS,OIG,2014-12-17,Date of Receipt,2015
,,,,,,,,,DHS,OIG,235,Number of Days Pending,2015
2015-09-30,2012-08-06,2014-06-24,2015-03-05,2015-03-08,2015-04-14,2015-08-10,2015-08-27,2015-09-28,DHS,TSA,2010-10-28,Date of Receipt,2015
1,823,332,150,148,122,38,25,3,DHS,TSA,1285,Number of Days Pending,2015
2014-04-29,2011-05-02,2013-06-20,2013-11-04,2013-12-23,2014-01-15,2014-03-25,2014-03-31,2014-04-02,DHS,USCG,2011-03-21,Date of Receipt,2015
372,1153,595,498,463,446,397,393,391,DHS,USCG,1183,Number of Days Pending,2015
,2014-09-26,,,,,,,,DHS,USCIS,2013-10-31,Date of Receipt,2015
,6,,,,,,,,DHS,USCIS,480,Number of Days Pending,2015
2015-05-28,2013-04-03,2013-09-03,2014-04-25,2015-02-06,2015-03-10,2015-03-27,2015-04-08,2015-04-29,DHS,USSS,2013-02-13,Date of Receipt,2015
90,651,542,374,169,147,137,126,111,DHS,USSS,686,Number of Days Pending,2015
2013-12-19,2013-03-25,2013-05-29,2013-06-10,2013-06-14,2013-07-26,2013-08-12,2013-08-22,2013-11-15,DOC,ITA,2013-03-25,Date of Receipt,2015
448,635,589,581,577,548,537,529,471,DOC,ITA,635,Number of Days Pending,2015
,2015-06-16,,,,,,,,DOC,OS,2015-02-03,Date of Receipt,2015
,74,,,,,,,,DOC,OS,167,Number of Days Pending,2015
2014-08-04,2014-06-03,2014-06-12,2014-06-30,2014-07-08,2014-07-16,2014-07-21,2014-07-21,2014-07-31,DoD,AF,2014-02-25,Date of Receipt,2015
291,334,327,315,310,304,301,301,293,DoD,AF,403,Number of Days Pending,2015
2012-01-05,2011-01-19,2011-01-19,2011-02-16,2011-02-25,2011-03-10,2011-03-14,2011-11-29,2012-01-05,DoD,AFRICOM,2011-01-19,Date of Receipt,2015
938,1181,1181,1161,1155,1146,1144,964,938,DoD,AFRICOM,1181,Number of Days Pending,2015
2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,DoD,ARMY,2008-02-19,Date of Receipt,2015
1829,1829,1829,1829,1829,1829,1829,1829,1829,DoD,ARMY,1913,Number of Days Pending,2015
2015-02-06,2014-06-06,2014-06-12,2014-06-27,2014-10-07,2014-12-03,2014-12-12,2015-01-12,2015-01-23,DoD,CENTCOM,2013-04-12,Date of Receipt,2015
164,331,327,316,246,208,201,182,174,DoD,CENTCOM,620,Number of Days Pending,2015
,,,,,,,,,DoD,DHA,2015-06-05,Date of Receipt,2015
,,,,,,,,,DoD,DHA,81,Number of Days Pending,2015
2011-10-17,2010-02-18,2010-03-01,2010-05-11,2010-06-21,2010-09-14,2011-07-05,2011-07-18,2011-07-28,DoD,DIA,2010-02-01,Date of Receipt,2015
993,1411,1404,1353,1325,1266,1065,1056,1048,DoD,DIA,1423,Number of Days Pending,2015
2015-07-14,2013-04-11,2014-07-22,2015-02-05,2015-02-25,2015-03-25,2015-06-23,2015-06-23,2015-07-14,DoD,DISA,2013-02-05,Date of Receipt,2015
55,621,300,165,152,132,69,69,55,DoD,DISA,667,Number of Days Pending,2015
,2015-09-17,,,,,,,,DoD,DoD IG,2015-09-11,Date of Receipt,2015
,9,,,,,,,,DoD,DoD IG,13,Number of Days Pending,2015
,2015-06-04,2015-07-02,2015-07-14,2015-07-31,2015-08-19,2015-08-27,2015-09-03,2015-09-21,DoD,DTRA,2015-03-03,Date of Receipt,2015
,82,62,55,42,29,23,18,7,DoD,DTRA,148,Number of Days Pending,2015
,2015-01-08,2015-06-12,,,,,,,DoD,EUCOM,2014-11-10,Date of Receipt,2015
,184,76,,,,,,,DoD,EUCOM,223,Number of Days Pending,2015
2014-06-28,2010-10-04,2011-05-05,2011-06-24,2012-10-10,2012-12-27,2013-12-19,2014-05-12,2014-06-12,DoD,NAVY,2009-11-09,Date of Receipt,2015
315,1252,1106,1071,745,693,447,349,327,DoD,NAVY,1478,Number of Days Pending,2015
2015-04-08,2014-10-22,2014-10-28,2014-11-14,2014-11-24,2015-01-02,2015-03-19,2015-03-30,2015-04-06,DoD,NGA,2014-07-15,Date of Receipt,2015
125,245,241,228,222,193,139,132,127,DoD,NGA,316,Number of Days Pending,2015
,2015-05-12,,,,,,,,DoD,NGB,2015-04-15,Date of Receipt,2015
,98,,,,,,,,DoD,NGB,117,Number of Days Pending,2015
,,,,,,,,,DoD,NORTHCOM,2013-04-16,Date of Receipt,2015
,,,,,,,,,DoD,NORTHCOM,618,Number of Days Pending,2015
2015-08-21,2015-06-26,2015-06-26,2015-06-26,2015-07-08,2015-07-20,2015-08-05,2015-08-06,2015-08-07,DoD,NRO,2015-06-26,Date of Receipt,2015
27,67,67,67,59,51,39,38,37,DoD,NRO,67,Number of Days Pending,2015
2011-07-29,2011-02-03,2011-03-18,2011-03-21,2011-04-29,2011-04-29,2011-06-02,2011-06-07,2011-07-26,DoD,NSA,2010-10-07,Date of Receipt,2015
1047,1170,1140,1139,1110,1110,1087,1084,1050,DoD,NSA,1249,Number of Days Pending,2015
2011-04-18,2010-06-07,2010-08-20,2010-08-20,2010-09-02,2010-09-21,2010-11-10,2010-12-13,2011-01-06,DoD,OSD/JS,2010-04-23,Date of Receipt,2015
1119,1335,1282,1282,1273,1261,1226,1205,1189,DoD,OSD/JS,1365,Number of Days Pending,2015
2014-08-24,2012-07-19,2012-10-12,2013-06-10,2013-12-24,2014-02-13,2014-04-07,2014-06-20,2014-08-23,DoD,SOCOM,2011-01-04,Date of Receipt,2015
276,802,743,580,444,410,374,321,276,DoD,SOCOM,1191,Number of Days Pending,2015
2015-07-01,2012-10-23,2013-07-02,2014-01-13,2014-05-19,2014-05-22,2014-10-27,2015-05-19,2015-06-08,DoD,SOUTHCOM,2011-01-04,Date of Receipt,2015
63,736,564,432,344,341,233,93,80,DoD,SOUTHCOM,1191,Number of Days Pending,2015
,2015-09-14,,,,,,,,DoD,STRATCOM,2015-06-22,Date of Receipt,2015
,12,,,,,,,,DoD,STRATCOM,70,Number of Days Pending,2015
,2015-07-22,2015-09-02,,,,,,,DoD,TRANSCOM,2015-07-13,Date of Receipt,2015
,71,29,,,,,,,DoD,TRANSCOM,80,Number of Days Pending,2015
,,,,,,,,,DOE,BPA,2015-08-19,Date of Receipt,2015
,,,,,,,,,DOE,BPA,29,Number of Days Pending,2015
2015-06-08,2012-04-18,2012-04-26,2012-08-02,2012-10-03,2014-12-04,2015-05-08,2015-05-13,2015-05-13,DOE,HQ,2011-08-04,Date of Receipt,2015
80,867,861,793,750,207,100,97,97,DOE,HQ,1043,Number of Days Pending,2015
,,,,,,,,,DOE,NETL,2015-06-02,Date of Receipt,2015
,,,,,,,,,DOE,NETL,84,Number of Days Pending,2015
,2015-08-25,2015-09-01,2015-09-29,,,,,,DOE,NNSA,2012-06-14,Date of Receipt,2015
,25,20,1,,,,,,DOE,NNSA,827,Number of Days Pending,2015
,,,,,,,,,DOE,SRO,2015-09-22,Date of Receipt,2015
,,,,,,,,,DOE,SRO,6,Number of Days Pending,2015
,,,,,,,,,DOI,FWS,2015-09-25,Date of Receipt,2015
,,,,,,,,,DOI,FWS,3,Number of Days Pending,2015
,2015-09-30,,,,,,,,DOI,OS,2015-09-29,Date of Receipt,2015
,0,,,,,,,,DOI,OS,1,Number of Days Pending,2015
,2015-07-01,2015-09-24,,,,,,,DOJ,Office of the AG,2015-06-16,Date of Receipt,2015
,63,4,,,,,,,DOJ,Office of the AG,74,Number of Days Pending,2015
,2015-06-16,2015-07-01,,,,,,,DOJ,Office of the DAG,2014-01-02,Date of Receipt,2015
,74,63,,,,,,,DOJ,Office of the DAG,438,Number of Days Pending,2015
,,,,,,,,,DOJ,Antitrust,2015-08-07,Date of Receipt,2015
,,,,,,,,,DOJ,Antitrust,37,Number of Days Pending,2015
2015-03-13,2014-01-09,2014-02-20,2014-04-08,2014-06-24,2014-10-28,2015-03-09,2015-03-09,2015-03-10,DOJ,ATF,2014-01-07,Date of Receipt,2015
140,434,406,373,319,232,144,144,143,DOJ,ATF,436,Number of Days Pending,2015
,,,,,,,,,DOJ,BOP,2015-09-28,Date of Receipt,2015
,,,,,,,,,DOJ,BOP,2,Number of Days Pending,2015
,2015-09-29,,,,,,,,DOJ,Civil,2015-09-18,Date of Receipt,2015
,1,,,,,,,,DOJ,Civil,8,Number of Days Pending,2015
,,,,,,,,,DOJ,COPS,2014-11-17,Date of Receipt,2015
,,,,,,,,,DOJ,COPS,219,Number of Days Pending,2015
2015-04-14,2014-01-28,2014-04-30,2014-06-04,2014-07-01,2014-09-02,2015-01-21,2015-02-05,2015-03-11,DOJ,Criminal,2013-12-06,Date of Receipt,2015
118,422,357,333,314,271,176,165,142,DOJ,Criminal,456,Number of Days Pending,2015
2015-08-11,2014-11-03,2014-12-10,2015-03-10,2015-03-18,2015-04-09,2015-06-02,2015-07-30,2015-08-07,DOJ,DEA,2014-10-24,Date of Receipt,2015
35,228,203,143,137,121,84,43,37,DOJ,DEA,234,Number of Days Pending,2015
2015-01-09,2014-03-10,2014-04-23,2014-06-04,2014-07-08,2014-09-09,2014-09-10,2014-10-22,2014-10-22,DOJ,EOUSA,2014-02-25,Date of Receipt,2015
183,394,362,333,310,266,265,236,236,DOJ,EOUSA,403,Number of Days Pending,2015
2015-02-13,2014-07-16,2014-10-20,2014-11-26,2014-12-09,2014-12-10,2014-12-16,2015-02-02,2015-02-03,DOJ,FBI,2013-09-03,Date of Receipt,2015
159,304,238,212,204,203,199,168,167,DOJ,FBI,521,Number of Days Pending,2015
,2015-09-09,,,,,,,,DOJ,NSD,2015-06-09,Date of Receipt,2015
,15,,,,,,,,DOJ,NSD,79,Number of Days Pending,2015
,2015-08-17,,,,,,,,DOJ,OIP,2015-05-28,Date of Receipt,2015
,31,,,,,,,,DOJ,OIP,87,Number of Days Pending,2015
,,,,,,,,,DOJ,OLA,2015-04-23,Date of Receipt,2015
,,,,,,,,,DOJ,OLA,111,Number of Days Pending,2015
,2015-06-16,2015-06-17,2015-06-18,2015-08-12,,,,,DOJ,OSG,2015-06-16,Date of Receipt,2015
,74,73,72,34,,,,,DOJ,OSG,74,Number of Days Pending,2015
,,,,,,,,,DOT,FAA,2015-07-22,Date of Receipt,2015
,,,,,,,,,DOT,FAA,49,Number of Days Pending,2015
,,,,,,,,,DOT,PHMSA,2015-09-21,Date of Receipt,2015
,,,,,,,,,DOT,PHMSA,7,Number of Days Pending,2015
,2015-07-07,,,,,,,,EPA,HQ,2015-05-05,Date of Receipt,2015
,60,,,,,,,,EPA,HQ,103,Number of Days Pending,2015
,,,,,,,,,EPA,Region 5,2015-01-29,Date of Receipt,2015
,,,,,,,,,EPA,Region 5,170,Number of Days Pending,2015
,,,,,,,,,FHFA,FHFA-HQ,2015-09-25,Date of Receipt,2015
,,,,,,,,,FHFA,FHFA-HQ,9,Number of Days Pending,2015
,,,,,,,,,FRB,FRB,2014-02-20,Date of Receipt,2015
,,,,,,,,,FRB,FRB,402,Number of Days Pending,2015
,2015-09-28,,,,,,,,HHS,CDC,2015-06-17,Date of Receipt,2015
,2,,,,,,,,HHS,CDC,73,Number of Days Pending,2015
,2015-08-04,,,,,,,,HHS,OS,2015-03-17,Date of Receipt,2015
,40,,,,,,,,HHS,OS,138,Number of Days Pending,2015
,2015-09-17,,,,,,,,NLRB,NLRB,2015-09-17,Date of Receipt,2015
,11,,,,,,,,NLRB,NLRB,11,Number of Days Pending,2015
2015-06-29,2014-08-08,2014-12-17,2014-12-17,2014-12-29,2015-03-02,2015-03-04,2015-04-17,2015-05-19,ODNI,ODNI,2013-09-17,Date of Receipt,2015
94,419,288,288,276,213,211,167,135,ODNI,ODNI,744,Number of Days Pending,2015
,2015-09-10,2015-09-10,2015-09-14,2015-09-29,2015-09-29,,,,OMB,OMB,2015-08-06,Date of Receipt,2015
,14,14,14,1,1,,,,OMB,OMB,38,Number of Days Pending,2015
,2015-08-20,,,,,,,,OPM,OPM,2015-07-30,Date of Receipt,2015
,29,,,,,,,,OPM,OPM,44,Number of Days Pending,2015
,2015-05-06,2015-09-29,,,,,,,OSC,OSC,2015-05-01,Date of Receipt,2015
,102,1,,,,,,,OSC,OSC,105,Number of Days Pending,2015
,2015-08-18,,,,,,,,PC,FOIA Office,2015-06-25,Date of Receipt,2015
,31,,,,,,,,PC,FOIA Office,68,Number of Days Pending,2015
,,,,,,,,,SEC,SEC,2015-09-01,Date of Receipt,2015
,,,,,,,,,SEC,SEC,20,Number of Days Pending,2015
,,,,,,,,,SIGAR,SIGAR,2015-06-01,Date of Receipt,2015
,,,,,,,,,SIGAR,SIGAR,85,Number of Days Pending,2015
,,,,,,,,,SSA,SSA,2015-09-11,Date of Receipt,2015
,,,,,,,,,SSA,SSA,14,Number of Days Pending,2015
2009-05-13,2009-02-06,2009-02-18,2009-03-17,2009-03-20,2009-03-27,2009-04-01,2009-04-02,2009-04-08,State,DoS,2009-02-05,Date of Receipt,2015
1661,1729,1721,1702,1700,1695,1691,1690,1686,State,DoS,1730,Number of Days Pending,2015
,2014-06-17,2014-08-05,2015-02-10,2015-03-24,2015-04-01,2015-05-22,2015-06-09,2015-08-07,Treasury,DO,2014-05-13,Date of Receipt,2015
,327,292,163,134,128,91,80,38,Treasury,DO,352,Number of Days Pending,2015
2015-08-31,2015-08-11,2015-08-17,2015-08-21,2015-08-24,2015-08-25,2015-08-25,2015-08-28,2015-08-28,Treasury,IRS,2015-08-07,Date of Receipt,2015
21,35,31,27,26,25,25,22,22,Treasury,IRS,37,Number of Days Pending,2015
,,,,,,,,,Treasury,TIGTA,2015-06-09,Date of Receipt,2015
,,,,,,,,,Treasury,TIGTA,79,Number of Days Pending,2015
,,,,,,,,,Treasury,TTB,2015-09-25,Date of Receipt,2015
,,,,,,,,,Treasury,TTB,4,Number of Days Pending,2015
,,,,,,,,,U.S. DOL,ALJ,2015-09-25,Date of Receipt,2015
,,,,,,,,,U.S. DOL,ALJ,3,Number of Days Pending,2015
,2010-08-13,2015-09-14,,,,,,,U.S. DOL,OSHA,2010-08-13,Date of Receipt,2015
,1283,17,,,,,,,U.S. DOL,OSHA,1283,Number of Days Pending,2015
,2015-01-28,2015-09-04,,,,,,,U.S. DOL,WHD,2014-10-06,Date of Receipt,2015
,170,17,,,,,,,U.S. DOL,WHD,246,Number of Days Pending,2015
,2015-06-29,2015-07-24,2015-08-11,2015-08-11,2015-08-11,2015-08-14,2015-09-22,,USAID,USAID,2015-06-10,Date of Receipt,2015
,65,47,35,35,35,32,6,,USAID,USAID,78,Number of Days Pending,2015
,2015-09-03,,,,,,,,USDA,APHIS,2015-04-15,Date of Receipt,2015
,18,,,,,,,,USDA,APHIS,117,Number of Days Pending,2015
,2013-01-25,,,,,,,,USDA,FSA,2012-08-30,Date of Receipt,2015
,424,,,,,,,,USDA,FSA,523,Number of Days Pending,2015
,2015-01-17,,,,,,,,USDA,OIG,2014-12-31,Date of Receipt,2015
,178,,,,,,,,USDA,OIG,190,Number of Days Pending,2015
,,,,,,,,,USDA,RD,2012-04-11,Date of Receipt,2015
,,,,,,,,,USDA,RD,870,Number of Days Pending,2015
,2013-08-03,2015-01-22,2015-02-22,2015-05-14,2015-07-15,2015-09-15,,,USTR,USTR,2011-09-16,Date of Receipt,2015
,539,174,153,96,54,11,,,USTR,USTR,1010,Number of Days Pending,2015
,2015-09-30,,,,,,,,VA,VBA,2015-09-30,Date of Receipt,2015
,1,,,,,,,,VA,VBA,1,Number of Days Pending,2015
